,image_time,crop_time,human_len,ai_len,prob,similarity
1574,1.2857645826056585,0.387,1,3,0.10472583770751953,0.0
602,6.766440501402324,1.506,14,13,0.9997793436050416,0.9629629629629628
705,13.92200918836141,2.392,11,10,0.9998137354850768,0.9523809523809524
2345,30.610599368816104,4.319,14,14,0.8789120316505432,0.9285714285714286
409,3.392337003610109,1.021,11,11,0.9449200630187988,1.0
4501,9.703149816176472,1.583,11,5,0.8858408331871033,0.625
1060,10.689878146879192,1.968,7,7,0.9999945163726808,1.0
2687,9.524131602960558,1.674,7,7,0.9998953342437744,1.0
1251,17.270276505828264,3.411,6,5,0.9129380583763124,0.9090909090909092
2969,13.134269806188371,2.025,7,7,0.9997800588607788,1.0
2757,6.508326923076924,1.164,4,4,0.6388974189758301,1.0
2650,9.814125944584385,1.392,11,10,0.894565224647522,0.7619047619047619
3332,22.45510953186689,5.884,12,13,0.9567307829856871,0.88
2619,4.597149958574979,1.064,11,10,0.9967107772827148,0.0
2045,8.982750693021575,1.801,6,6,0.9999822378158568,1.0
3762,9.899168302435479,1.559,6,6,0.928595244884491,0.8333333333333334
1062,10.856277223650384,2.706,7,7,0.9999730587005616,1.0
350,6.119965570242853,1.028,5,8,0.7279511094093323,0.0
3854,4.686111705777412,0.748,10,9,0.9965723752975464,0.9473684210526316
2653,7.466350125944584,1.059,14,15,0.6152453422546387,0.0
