,crop_time,image_time,human_len,ai_len,prob,similarity,correct
367,0.352,1.3015396185871606,1,4,0.1764095425605774,0.0,1
368,1.484,5.487172710179962,1,5,0.3466724753379822,0.0,1
369,2.791,20.755063157309,7,7,0.9869205355644226,1.0,1
370,6.172,45.897617272271994,6,6,0.9998745918273926,1.0,0
371,2.072,15.408273329252687,5,5,0.9967989921569824,1.0,0
372,4.536,33.7316253964721,8,8,0.9999454021453856,1.0,0
373,2.4,17.84742084469423,7,7,0.9999800324440002,1.0,0
374,0.453,1.9500410447761194,1,3,0.359121173620224,0.0,1
375,0.439,1.8897748756218904,1,4,0.5788662433624268,0.0,1
376,0.459,1.9758694029850747,1,9,0.27582672238349915,0.0,1
377,0.492,2.117925373134329,1,11,0.3209962546825409,0.0,1
378,0.569,2.4493893034825875,1,9,0.2704717814922333,0.0,1
379,1.982,11.654082941843514,6,6,0.989515483379364,1.0,0
380,1.251,7.355831362384578,4,4,0.9833645820617676,0.75,0
381,1.853,10.895567957233112,7,7,0.9357263445854188,0.0,0
382,1.087,6.391517738538798,11,5,0.9879618883132936,0.625,0
383,1.455,8.420441368726198,6,6,0.9633233547210692,1.0,0
384,2.266,13.113897004490426,18,16,0.552646815776825,0.0,0
385,1.337,7.737546467344966,9,9,0.8737096786499023,0.8888888888888888,0
386,2.926,16.93347865628375,5,5,0.9828063845634459,1.0,0
388,1.977,11.441383220599102,12,12,0.9648014903068542,0.8333333333333334,0
389,1.386,8.021121468765987,15,12,0.8363674879074097,0.3703703703703704,0
390,1.343,7.772269936906724,10,9,0.92838716506958,0.9473684210526316,0
391,1.574,9.10912351503439,14,13,0.9597316384315492,0.9629629629629628,0
392,3.923,24.16725210318707,3,3,0.958022952079773,1.0,0
393,3.077,18.955553077111045,8,8,0.9994041323661804,1.0,0
394,4.345,26.766941215485044,11,10,0.9880658388137816,0.9523809523809524,0
395,2.828,17.421613292840437,12,10,0.907889187335968,0.6363636363636364,0
396,4.234,26.083136733340318,11,9,0.7450743913650513,0.6,0
399,3.136,19.319016720773558,14,13,0.984199285507202,0.8888888888888888,0
400,0.637,4.524637209302327,5,9,0.6270365118980408,0.5714285714285714,1
401,1.192,8.46682504472272,6,6,0.5591216683387756,0.8333333333333334,1
